Product,Type,Release Date,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),Foundry,Vendor,Price($)
Intel Mobile Pentium 4 HT 538,CPU,6/1/2004,90,88,112,125,3200,Intel,Intel,28
Intel Core i7-8700,CPU,1/1/2018,14,65,154,,3200,Intel,Intel,38.5
Intel Pentium Dual-Core E2220,CPU,3/2/2008,65,65,77,105,2400,Intel,Intel,19.25
AMD Ryzen 5 4600U,CPU,1/6/2020,7,25,156,9800,2100,TSMC,AMD,39
AMD Ryzen Threadripper 2970WX,CPU,10/2/2018,12,250,213,19200,3000,GF,AMD,53.25
AMD Opteron X2 875 HE,CPU,2/1/2006,90,55,,233,2200,Unknown,AMD,0
Intel Atom Z605,CPU,5/4/2010,45,2,65,140,1000,Intel,Intel,16.25
Intel Xeon Platinum 8351N,CPU,4/6/2021,10,225,,,2400,Intel,Intel,0
Intel Atom N475,CPU,6/1/2010,45,7,66,123,1834,Intel,Intel,16.5
Intel Core i5-3350P,CPU,9/3/2012,22,69,133,,3100,Intel,Intel,33.25
Intel Xeon E5-1660 v2,CPU,9/1/2013,22,130,160,1400,3700,Intel,Intel,40
AMD Sempron 3300+,CPU,7/15/2005,90,62,,69,2000,Unknown,AMD,0
AMD Ryzen 5 PRO 2600,CPU,9/19/2018,12,65,192,4800,3400,GF,AMD,48
AMD Phenom X4 9450e,CPU,10/1/2008,65,65,285,450,2100,Unknown,AMD,71.25
AMD A4-3420,CPU,12/20/2011,32,65,228,1178,2800,Unknown,AMD,57
Intel Pentium 4 1.80,CPU,8/27/2001,180,67,217,42,1800,Intel,Intel,54.25
AMD Opteron 248,CPU,12/1/2004,90,85,,106,2200,Unknown,AMD,0
Intel Pentium 4 506,CPU,6/1/2005,90,84,109,125,2660,Intel,Intel,27.25
Intel Core i7-3840QM,CPU,9/3/2012,22,45,160,1400,2800,Intel,Intel,40
Intel Pentium 4 2.53,CPU,5/6/2002,130,110,146,55,2527,Intel,Intel,36.5
Intel Mobile Pentium 4 2.40,CPU,6/11/2003,130,60,131,55,2400,Intel,Intel,32.75
Intel Xeon Phi 7110P,CPU,11/12/2012,22,300,350,5000,1250,Intel,Intel,87.5
Intel Core i3-7300,CPU,1/3/2017,14,51,,,4000,Intel,Intel,0
Intel Core i7-3520M,CPU,6/3/2012,22,35,118,,2900,Intel,Intel,29.5
AMD Turion 64 MT-30,CPU,3/10/2005,90,22,125,114,1600,Unknown,AMD,31.25
AMD Sempron LE-1300,CPU,10/8/2007,65,45,,,2300,Unknown,AMD,0
Intel Atom Z625,CPU,5/4/2010,45,2,65,140,1900,Intel,Intel,16.25
Intel Core i5-4200U,CPU,6/4/2013,22,15,118,1400,1600,Intel,Intel,29.5
Intel Pentium E5700,CPU,8/8/2010,45,65,82,228,3000,Intel,Intel,20.5
Intel Core i3-3110M,CPU,6/1/2012,22,35,118,,2400,Intel,Intel,29.5
Intel Pentium G3420T,CPU,9/1/2013,22,35,177,1400,2700,Intel,Intel,44.25
AMD E1-1500,CPU,1/6/2013,40,18,75,,1480,Unknown,AMD,18.75
AMD A10-9700E,CPU,7/27/2017,28,35,246,1178,3000,Unknown,AMD,61.5
Intel Pentium 4-M 2.00,CPU,6/24/2002,130,32,131,55,2000,Intel,Intel,32.75
Intel Xeon E5620,CPU,3/16/2010,32,80,239,1170,2400,Intel,Intel,59.75
Intel Core i3-3120M,CPU,9/30/2012,22,35,118,,2500,Intel,Intel,29.5
AMD Opteron 6274,CPU,11/14/2011,32,115,316,2400,2200,Unknown,AMD,79
AMD Ryzen 7 1800X,CPU,3/2/2017,14,95,192,4800,3600,GF,AMD,48
Intel Core i3-3120ME,CPU,8/1/2012,22,35,118,,2400,Intel,Intel,29.5
AMD Ryzen 3 3200U,CPU,1/6/2019,12,15,210,4940,2600,GF,AMD,52.5
Intel Xeon E-2124G,CPU,5/31/2018,14,72,126,1400,3400,Intel,Intel,31.5
AMD Athlon 700,CPU,6/5/2000,180,40,120,37,700,Unknown,AMD,30
AMD Athlon 64 2700+,CPU,4/27/2004,130,32,144,69,1600,Unknown,AMD,36
AMD Ryzen 7 2700X,CPU,4/19/2018,12,105,192,4800,3700,GF,AMD,48
AMD Ryzen Embedded V1807B,CPU,2/21/2018,14,45,210,4950,3350,GF,AMD,52.5
AMD Athlon II X3 415e,CPU,5/11/2010,45,45,169,300,2500,Unknown,AMD,42.25
Intel Core i5-2310,CPU,5/22/2011,32,95,216,1160,2900,Intel,Intel,54
AMD FX-8320,CPU,10/23/2012,32,125,315,1200,3500,Unknown,AMD,78.75
Intel Core i7-10700K,CPU,4/30/2020,14,125,,,3800,Intel,Intel,0
AMD Opteron 6386 SE,CPU,11/5/2012,32,140,315,2400,2800,Unknown,AMD,78.75
AMD Opteron X2 875,CPU,9/26/2005,90,95,,233,2200,Unknown,AMD,0
Intel Celeron 877,CPU,7/1/2012,32,17,131,504,1400,Intel,Intel,32.75
AMD Phenom II X6 1100T BE,CPU,12/7/2010,45,125,346,904,3300,Unknown,AMD,86.5
Intel Core i3-5157U,CPU,3/1/2015,14,28,,,2500,Intel,Intel,0
Intel Core i3-4130,CPU,9/1/2013,22,54,177,1400,3400,Intel,Intel,44.25
Intel Core i7-3910K,CPU,7/24/2013,32,130,435,2270,3000,Intel,Intel,108.75
Intel Core i7-3632QM,CPU,10/19/2012,22,35,160,1480,2200,Intel,Intel,40
Intel Core i7-8670T,CPU,9/1/2018,14,35,,,2300,Intel,Intel,0
AMD Opteron 144,CPU,8/2/2005,90,67,,106,1800,Unknown,AMD,0
Intel Core i7-5650U,CPU,3/1/2015,14,15,,,2200,Intel,Intel,0
Intel Pentium 4 HT 515,CPU,1/1/2001,90,84,109,125,2933,Intel,Intel,27.25
AMD Opteron 242,CPU,5/18/2004,130,82,193,106,1600,Unknown,AMD,48.25
Intel Core i5-7600,CPU,1/3/2017,14,65,,,3500,Intel,Intel,0
Intel Xeon 2.8,CPU,10/10/2005,90,135,213,200,2800,Intel,Intel,53.25
Intel Core 2 Duo E7600,CPU,5/10/2009,45,65,82,228,3067,Intel,Intel,20.5
Intel Core i7-9700K,CPU,10/19/2018,14,95,,,3600,Intel,Intel,0
AMD Phenom II X4 910,CPU,2/9/2009,45,95,258,758,2600,Unknown,AMD,64.5
AMD EPYC 73F3,CPU,3/15/2021,7,240,,,3500,TSMC,AMD,0
AMD Sempron 2500+,CPU,7/28/2004,130,62,80,37,1750,Unknown,AMD,20
Intel Pentium G3450,CPU,5/1/2014,22,54,177,1400,3300,Intel,Intel,44.25
AMD EPYC 7601,CPU,6/29/2017,14,180,213,4800,2200,GF,AMD,53.25
Intel Xeon E7-8860 v3,CPU,6/1/2015,22,140,160,1400,2200,Intel,Intel,40
Intel Xeon 5140,CPU,6/26/2006,65,65,,,2333,Intel,Intel,0
AMD Phenom X4 9850 BE,CPU,3/27/2008,65,125,285,450,2500,Unknown,AMD,71.25
AMD Ryzen 3 3100,CPU,4/24/2020,7,65,74,3800,3600,TSMC,AMD,18.5
Intel Core i7-4940MX,CPU,1/20/2014,22,57,177,1400,3100,Intel,Intel,44.25
Intel Core 2 Quad Q6600 (105W),CPU,1/7/2007,65,105,143,582,2400,Intel,Intel,35.75
AMD Athlon 64 FX-62,CPU,5/23/2006,90,125,220,243,2800,Unknown,AMD,55
AMD Athlon X2 7750 BE,CPU,12/15/2008,65,95,285,450,2700,Unknown,AMD,71.25
Intel Core i7-3740QM,CPU,9/3/2012,22,45,160,1400,2700,Intel,Intel,40
Intel Core i3-4150T,CPU,5/1/2014,22,35,177,1400,2900,Intel,Intel,44.25
Intel Atom N570,CPU,3/1/2011,45,9,87,176,1667,Intel,Intel,21.75
Intel Core 2 Duo T7300,CPU,7/27/2006,65,35,143,293,2000,Intel,Intel,35.75
Intel Atom E645C,CPU,11/22/2010,45,4,26,47,1000,Intel,Intel,6.5
Intel Core i7-5820K,CPU,9/1/2014,22,140,356,2600,3300,Intel,Intel,89
Intel Celeron E3400,CPU,1/17/2010,45,65,82,228,2600,Intel,Intel,20.5
AMD FX-6120,CPU,10/23/2012,32,95,315,1200,3600,Unknown,AMD,78.75
Intel Pentium G632,CPU,9/4/2011,32,65,131,504,2700,Intel,Intel,32.75
Intel Pentium 4 HT 531,CPU,6/12/2005,90,84,109,125,3000,Intel,Intel,27.25
AMD Opteron 248 HE,CPU,3/1/2005,90,55,,106,2200,Unknown,AMD,0
AMD Opteron X2 290,CPU,1/1/2006,90,95,,233,2800,Unknown,AMD,0
Intel Pentium 4 HT 3.20,CPU,6/23/2003,130,82,131,55,3200,Intel,Intel,32.75
AMD Athlon II X4 610e,CPU,5/11/2010,45,45,169,300,2400,Unknown,AMD,42.25
Intel Core i3-3110M,CPU,6/1/2012,22,35,118,,2400,Intel,Intel,29.5
Intel Core i7-5550U,CPU,3/1/2015,14,15,,,2000,Intel,Intel,0
AMD Sempron 2800+,CPU,5/23/2006,90,62,103,81,1600,Unknown,AMD,25.75
AMD FX-9590,CPU,7/6/2013,32,220,315,1200,4700,Unknown,AMD,78.75
Intel Pentium 4 2.0,CPU,1/7/2002,130,92,146,125,2000,Intel,Intel,36.5
AMD EPYC 7443P,CPU,3/15/2021,7,200,,,2850,TSMC,AMD,0
Intel Celeron G1620T,CPU,9/1/2013,22,35,94,,2400,Intel,Intel,23.5
AMD Phenom II X6 1055T (95W),CPU,5/1/2010,45,95,346,904,2800,Unknown,AMD,86.5
AMD A4-4000,CPU,6/1/2013,32,65,246,1178,3000,Unknown,AMD,61.5
AMD Phenom X4 9650,CPU,3/27/2008,65,95,285,450,2300,Unknown,AMD,71.25
AMD Athlon XP 2600+,CPU,9/1/2003,130,68,,63,2083,Unknown,AMD,0
Intel Core i5-4350U,CPU,6/4/2013,22,15,118,1400,1400,Intel,Intel,29.5
AMD Ryzen Threadripper 1900X,CPU,8/31/2017,14,125,213,9600,3800,GF,AMD,53.25
Intel Celeron B820,CPU,7/1/2012,32,35,131,504,1700,Intel,Intel,32.75
Intel Xeon W3670,CPU,8/29/2010,32,130,239,1170,3200,Intel,Intel,59.75
Intel Core i7-7740X,CPU,6/26/2017,14,112,,,4300,Intel,Intel,0
Intel Core i7-4610M,CPU,2/1/2014,22,37,118,1300,3000,Intel,Intel,29.5
AMD Opteron 6282 SE,CPU,11/14/2011,32,140,316,2400,2600,Unknown,AMD,79
Intel Celeron N2805,CPU,9/11/2013,22,4,,,1463,Intel,Intel,0
Intel Pentium 4 HT 631,CPU,1/5/2006,65,86,81,188,3000,Intel,Intel,20.25
Intel Xeon L5609,CPU,3/16/2010,32,40,239,1170,1866,Intel,Intel,59.75
AMD Phenom II X3 715 BE,CPU,10/1/2010,45,95,258,758,2800,Unknown,AMD,64.5
Intel Core i5-8420T,CPU,9/1/2018,14,35,,,1800,Intel,Intel,0
AMD Opteron 152,CPU,8/2/2005,90,104,,106,2600,Unknown,AMD,0
AMD Sempron 3400+,CPU,1/23/2006,90,62,,69,2000,Unknown,AMD,0
Intel Xeon E5603,CPU,2/14/2011,32,80,239,1170,1600,Intel,Intel,59.75
Intel Pentium G2100T,CPU,9/3/2012,22,35,94,,2600,Intel,Intel,23.5
AMD Sempron 2600+,CPU,7/28/2004,90,62,,63,1600,Unknown,AMD,0
Intel Pentium 4 HT 660,CPU,2/20/2005,90,84,109,169,3600,Intel,Intel,27.25
AMD Athlon Gold PRO 3150GE,CPU,7/21/2020,12,35,,,3500,GF,AMD,0
Intel Core i7-10750H,CPU,4/2/2020,14,45,,,2600,Intel,Intel,0
Intel Celeron 887,CPU,9/1/2012,32,17,131,504,1500,Intel,Intel,32.75
AMD A8-3550MX,CPU,12/20/2011,32,45,228,1178,2000,Unknown,AMD,57
Intel Xeon E-2124,CPU,5/31/2018,14,72,126,1400,3400,Intel,Intel,31.5
AMD Phenom II X4 830,CPU,9/1/2009,45,95,258,758,2800,Unknown,AMD,64.5
AMD Athlon II X2 250,CPU,6/2/2009,45,65,117,410,3000,Unknown,AMD,29.25
AMD FX-6200,CPU,2/27/2012,32,125,315,1200,3800,Unknown,AMD,78.75
AMD Opteron 848,CPU,5/18/2004,130,89,193,106,2200,Unknown,AMD,48.25
AMD Phenom X4 9350e,CPU,7/1/2008,65,65,285,450,2000,Unknown,AMD,71.25
Intel Pentium B980,CPU,9/1/2012,32,35,131,504,2400,Intel,Intel,32.75
AMD Athlon II X4 635,CPU,1/25/2010,45,95,169,300,2900,Unknown,AMD,42.25
Intel Celeron B810,CPU,3/1/2011,32,35,131,504,1600,Intel,Intel,32.75
Intel A100,CPU,6/1/2007,90,3,66,176,600,Intel,Intel,16.5
AMD Opteron X1150,CPU,5/29/2013,28,17,,,2000,Unknown,AMD,0
Intel Core i9-9820X,CPU,10/19/2018,14,165,,,3300,Intel,Intel,0
AMD A12-9800E,CPU,7/27/2017,28,35,246,1178,3100,Unknown,AMD,61.5
Intel Xeon Phi SE10P,CPU,11/12/2012,22,300,350,5000,1100,Intel,Intel,87.5
Intel Core 2 Duo E6750,CPU,7/1/2007,65,65,143,291,2667,Intel,Intel,35.75
Intel Core i7-990X,CPU,2/24/2011,32,130,239,1170,3466,Intel,Intel,59.75
Intel Core i5-9400,CPU,10/19/2018,14,65,,,2900,Intel,Intel,0
Intel Core 2 Duo E4300,CPU,7/27/2006,65,65,111,167,1800,Intel,Intel,27.75
AMD A4-1250,CPU,5/23/2013,32,8,246,1178,1000,Unknown,AMD,61.5
Intel Pentium 4 HT 2.80,CPU,5/21/2003,130,70,131,55,2800,Intel,Intel,32.75
AMD Ryzen 7 1700X,CPU,3/2/2017,14,95,192,4800,3400,GF,AMD,48
AMD A6-3650,CPU,6/30/2011,32,100,228,1178,2600,Unknown,AMD,57
AMD Ryzen Embedded V1605B,CPU,2/21/2018,14,15,210,4950,2000,GF,AMD,52.5
Intel Pentium 4 HT 620,CPU,2/20/2005,90,84,135,169,2800,Intel,Intel,33.75
Intel Core 2 Duo T5600,CPU,7/27/2006,65,35,143,,1833,Intel,Intel,35.75
AMD Athlon 64 LE-1640,CPU,1/7/2009,90,45,3,154,2600,Unknown,AMD,0.75
AMD Sempron 2800+,CPU,7/28/2004,90,25,,63,1600,Unknown,AMD,0
AMD A10-5800B,CPU,10/2/2012,32,100,246,1178,3800,Unknown,AMD,61.5
Intel Core Solo T1200,CPU,1/5/2006,65,27,90,151,1500,Intel,Intel,22.5
Intel Xeon Phi 7285,CPU,12/1/2017,14,250,,8000,1300,Intel,Intel,0
AMD Athlon 64 3800+,CPU,6/1/2004,130,89,144,69,2400,Unknown,AMD,36
Intel Xeon Phi 31S1P,CPU,6/17/2013,22,270,350,5000,1100,Intel,Intel,87.5
AMD Opteron 144,CPU,8/2/2005,90,67,,106,1800,Unknown,AMD,0
Intel Xeon MP 7040 Dual-Core,CPU,12/1/2005,90,135,213,200,3000,Intel,Intel,53.25
Intel Pentium 4 2.80,CPU,8/25/2002,130,110,146,55,2793,Intel,Intel,36.5
AMD Phenom II X2 B57,CPU,5/11/2010,45,80,258,758,3200,Unknown,AMD,64.5
Intel Celeron G1840T,CPU,5/1/2014,22,54,177,1400,2500,Intel,Intel,44.25
Intel Core i3-3120M,CPU,9/30/2012,22,35,118,,2500,Intel,Intel,29.5
AMD EPYC 7402,CPU,8/7/2019,7,180,74,3800,2800,TSMC,AMD,18.5
Intel Core i7-11700T,CPU,3/16/2021,14,35,,,1400,Intel,Intel,0
Intel Pentium 4 1.9,CPU,8/27/2001,180,69,217,42,1900,Intel,Intel,54.25
AMD Opteron 6284 SE,CPU,5/1/2012,32,140,316,2400,2700,Unknown,AMD,79
AMD Turion X2 RM-74,CPU,12/1/2008,65,35,,,2200,Unknown,AMD,0
AMD Opteron 4340,CPU,12/4/2012,32,95,315,1200,3500,Unknown,AMD,78.75
AMD Athlon 64 3700+,CPU,4/14/2005,130,83,,105,2400,Unknown,AMD,0
